Date,Open,High,Low,Close,Adj Close,Volume
2024-03-07,503.279999,519.849976,501.380005,512.190002,512.190002,18586400
2024-03-08,514.190002,523.570007,499.350006,505.950012,505.950012,18575200
2024-03-11,497.010010,497.320007,476.000000,483.589996,483.589996,20428300
2024-03-12,493.260010,502.309998,484.730011,499.750000,499.750000,15448200
2024-03-13,495.390015,500.980011,491.029999,495.570007,495.570007,12090700
2024-03-14,500.260010,501.350006,488.160004,491.829987,491.829987,12620000
2024-03-15,489.010010,491.829987,481.299988,484.100006,484.100006,29141700
2024-03-18,491.910004,497.420013,486.809998,496.980011,496.980011,11755300
2024-03-19,488.170013,496.630005,481.279999,496.239990,496.239990,10903100
2024-03-20,499.500000,508.200012,495.170013,505.519989,505.519989,11711100
2024-03-21,514.710022,515.039978,506.010010,507.760010,507.760010,9712500
2024-03-22,507.000000,509.970001,504.339996,509.579987,509.579987,8117000
2024-03-25,505.790009,507.220001,500.239990,503.019989,503.019989,8380600
2024-03-26,505.130005,510.000000,495.209991,495.890015,495.890015,11205400
2024-03-27,499.299988,499.890015,488.070007,493.859985,493.859985,9989700
2024-03-28,492.839996,492.890015,485.149994,485.579987,485.579987,15212800
2024-04-01,487.200012,497.429993,481.779999,491.350006,491.350006,9247000
2024-04-02,485.100006,497.529999,484.649994,497.369995,497.369995,11081000
2024-04-03,499.309998,507.239990,498.750000,506.739990,506.739990,12011525
